ID,Status,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Timestamp,Timestamp_us
Sensor_1,Active,-0.02,2.00,-0.16,102.89,-119.54,-85.31,00:21:894000,21894000
Sensor_1,Active,0.35,1.38,0.31,-201.34,31.70,117.13,00:21:994000,21994000
Sensor_1,Active,0.33,0.07,0.48,-169.07,-25.10,149.35,00:22:094000,22094000
Sensor_1,Active,0.63,-1.12,0.41,-39.18,-41.09,52.17,00:22:194000,22194000
Sensor_1,Active,0.18,0.01,0.43,210.01,8.43,-235.56,00:22:294000,22294000
Sensor_1,Active,0.37,2.00,0.34,133.27,-44.46,-51.52,00:22:394000,22394000
Sensor_1,Active,0.28,1.67,0.43,-124.89,4.37,96.95,00:22:494000,22494000
Sensor_1,Active,0.37,-0.14,0.30,-111.05,-17.62,176.71,00:22:594000,22594000
Sensor_1,Active,0.68,-0.84,0.44,18.11,-9.91,-5.59,00:22:694000,22694000
Sensor_1,Active,0.29,-0.10,0.33,169.41,1.42,-250.14,00:22:794000,22794000
Sensor_1,Active,0.06,2.00,-0.26,153.16,-61.04,-58.18,00:22:894000,22894000
Sensor_1,Active,0.21,1.86,0.03,-121.05,19.72,99.90,00:22:994000,22994000
Sensor_1,Active,0.28,0.14,0.13,-191.32,8.29,206.42,00:23:094000,23094000
Sensor_1,Active,0.72,-0.93,0.43,-34.79,-11.49,59.41,00:23:195000,23195000
Sensor_1,Active,0.52,-0.69,0.29,163.44,-7.55,-224.59,00:23:294000,23294000
Sensor_1,Active,-0.58,2.00,-0.29,240.05,-18.37,-249.44,00:23:394000,23394000
Sensor_1,Active,0.25,1.92,-0.18,-124.32,37.73,80.70,00:23:494000,23494000
Sensor_1,Active,0.20,0.48,0.11,-193.79,19.51,188.95,00:23:594000,23594000
Sensor_1,Active,0.71,-0.60,0.39,-54.60,0.66,99.25,00:23:694000,23694000
Sensor_1,Active,0.68,-0.73,0.53,105.98,-11.87,-134.35,00:23:794000,23794000
Sensor_1,Active,-0.55,2.00,-0.19,211.61,-43.92,-250.14,00:23:894000,23894000
Sensor_1,Active,0.51,1.84,-0.35,-80.97,26.31,63.02,00:23:994000,23994000
Sensor_1,Active,0.25,0.74,0.09,-152.63,23.63,158.09,00:24:094000,24094000
Sensor_1,Active,0.61,-0.29,0.32,-60.43,4.59,113.59,00:24:194000,24194000
Sensor_1,Active,0.78,-0.76,0.56,123.82,1.67,-70.72,00:24:294000,24294000
Sensor_1,Active,-0.31,1.41,-0.03,204.21,-59.03,-250.14,00:24:394000,24394000
Sensor_1,Active,0.42,2.00,-0.60,8.79,9.12,25.24,00:24:494000,24494000
Sensor_1,Active,0.17,1.06,-0.03,-107.01,44.30,117.34,00:24:594000,24594000
Sensor_1,Active,0.45,0.19,0.14,-71.73,13.92,123.98,00:24:694000,24694000
Sensor_1,Active,0.67,-0.38,0.54,20.43,32.92,45.02,00:24:794000,24794000
Sensor_1,Active,0.12,0.18,-0.01,123.24,-23.86,-250.14,00:24:894000,24894000
Sensor_1,Active,0.43,2.00,-0.62,30.39,-30.73,0.74,00:24:994000,24994000
Sensor_1,Active,0.07,1.49,-0.03,-111.31,27.34,91.92,00:25:094000,25094000
Sensor_1,Active,0.40,0.31,0.13,-109.43,19.62,152.91,00:25:194000,25194000
Sensor_1,Active,0.66,-0.34,0.54,-12.60,33.61,63.50,00:25:294000,25294000
Sensor_1,Active,0.53,-0.81,0.58,118.08,-65.29,-250.14,00:25:394000,25394000
Sensor_1,Active,0.10,2.00,-1.30,170.92,-69.71,-44.23,00:25:494000,25494000
Sensor_1,Active,0.05,1.95,-0.32,-129.37,42.98,80.17,00:25:594000,25594000
Sensor_1,Active,0.14,0.52,-0.14,-210.81,25.54,237.71,00:25:694000,25694000
Sensor_1,Active,0.74,-0.75,0.42,-93.18,5.78,146.42,00:25:794000,25794000
Sensor_1,Active,0.86,-0.84,0.45,122.34,-18.84,-123.56,00:25:894000,25894000
Sensor_1,Active,-0.57,0.99,-0.22,171.45,2.07,-250.14,00:25:994000,25994000
Sensor_1,Active,0.30,2.00,-0.90,96.91,-10.27,46.65,00:26:094000,26094000
Sensor_1,Active,0.29,0.88,0.07,-4.14,45.77,29.95,00:26:194000,26194000
Sensor_1,Active,0.37,0.39,0.18,53.49,3.43,16.49,00:26:294000,26294000
Sensor_1,Active,0.44,0.93,-0.65,171.39,27.05,-4.56,00:26:394000,26394000
Sensor_1,Active,0.51,0.76,-0.55,121.08,50.27,18.95,00:26:494000,26494000
Sensor_1,Active,0.53,0.64,-0.70,43.67,10.12,21.53,00:26:594000,26594000
Sensor_1,Active,0.62,0.43,-0.68,-11.49,-9.92,18.55,00:26:694000,26694000
Sensor_1,Active,0.60,0.43,-0.59,-7.30,-0.34,-3.65,00:26:794000,26794000
Sensor_1,Active,0.49,0.48,-0.61,89.59,42.45,-7.76,00:26:894000,26894000
Sensor_1,Active,0.61,0.30,-0.80,218.80,19.88,-236.30,00:26:994000,26994000
Sensor_1,Active,0.61,0.26,-0.71,-43.52,56.11,44.57,00:27:094000,27094000
Sensor_1,Active,0.59,0.50,-0.66,9.05,-59.23,12.61,00:27:194000,27194000
Sensor_1,Active,0.49,0.43,-0.75,-4.08,-37.08,-6.47,00:27:294000,27294000
Sensor_1,Active,0.41,0.45,-0.82,-15.46,-64.59,-3.47,00:27:394000,27394000
Sensor_1,Active,0.38,0.41,-0.80,-4.63,-49.57,-4.40,00:27:494000,27494000
Sensor_1,Active,0.41,0.44,-0.73,-1.15,-71.12,-5.00,00:27:594000,27594000
Sensor_1,Active,0.03,0.42,-0.89,15.64,-100.66,-35.98,00:27:694000,27694000
Sensor_1,Active,-0.09,0.38,-0.77,-97.89,-154.28,-55.47,00:27:794000,27794000
Sensor_1,Active,-0.54,0.53,-0.43,-128.69,-250.14,-90.89,00:27:894000,27894000
Sensor_1,Active,-0.70,0.48,-0.00,-104.75,-250.14,-47.34,00:27:994000,27994000
Sensor_1,Active,-0.74,0.37,0.49,-103.18,-250.14,-66.79,00:28:094000,28094000
Sensor_1,Active,-0.54,0.25,0.79,-108.02,-250.14,-31.24,00:28:194000,28194000
Sensor_1,Active,-0.32,0.05,1.03,-68.28,-126.16,0.23,00:28:294000,28294000
Sensor_1,Active,-0.19,-0.01,1.11,-31.08,-43.76,12.47,00:28:394000,28394000
Sensor_1,Active,-0.13,-0.04,1.01,-9.12,-51.37,3.83,00:28:494000,28494000
Sensor_1,Active,-0.12,-0.09,1.01,-3.86,-1.75,-2.22,00:28:594000,28594000
Sensor_1,Active,-0.08,-0.02,1.07,-4.47,-1.56,0.36,00:28:694000,28694000
Sensor_1,Active,-0.08,-0.02,1.06,-4.30,-1.21,-1.43,00:28:794000,28794000
Sensor_1,Active,-0.07,-0.02,1.07,-4.37,-1.66,-1.24,00:28:894000,28894000
Sensor_1,Active,-0.07,-0.02,1.07,-4.40,-2.04,-1.27,00:28:994000,28994000
Sensor_1,Active,-0.07,-0.02,1.07,-4.28,-1.47,-1.33,00:29:094000,29094000
Sensor_1,Active,-0.08,-0.02,1.07,-4.15,-1.77,-1.43,00:29:194000,29194000
Sensor_1,Active,-0.07,-0.02,1.07,-4.23,-1.75,-1.41,00:29:294000,29294000
Sensor_1,Active,-0.08,-0.03,1.06,-4.36,-1.99,-1.28,00:29:394000,29394000
Sensor_1,Active,-0.08,-0.01,1.07,-3.98,-1.57,-1.40,00:29:494000,29494000
Sensor_1,Active,-0.07,-0.02,1.07,-4.39,-1.89,-1.60,00:29:594000,29594000
Sensor_1,Active,-0.07,-0.02,1.08,-4.21,-1.91,-1.24,00:29:694000,29694000
