ID,Status,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Timestamp,Timestamp_us
Sensor_1,Active,0.91,0.24,0.48,-4.22,-1.91,-1.40,09:43:106000,583106000
Sensor_1,Active,0.91,0.24,0.47,-4.24,-1.68,-1.44,09:43:206000,583206000
Sensor_1,Active,0.92,0.25,0.47,-4.32,-1.85,-1.24,09:43:306000,583306000
Sensor_1,Active,0.92,0.25,0.47,-4.18,-2.02,-1.54,09:43:406000,583406000
Sensor_1,Active,0.92,0.26,0.48,-4.14,-1.96,-1.36,09:43:506000,583506000
Sensor_1,Active,0.92,0.24,0.47,-4.27,-1.86,-1.38,09:43:606000,583606000
Sensor_1,Active,0.91,0.25,0.48,-4.30,-1.82,-1.54,09:43:706000,583706000
Sensor_1,Active,0.93,0.24,0.47,-3.96,-1.75,-1.30,09:43:806000,583806000
Sensor_1,Active,0.91,0.24,0.47,-4.30,-2.02,-1.26,09:43:906000,583906000
Sensor_1,Active,0.92,0.25,0.47,-4.25,-1.89,-1.36,09:44:006000,584006000
Sensor_1,Active,0.92,0.25,0.47,-4.21,-1.80,-1.39,09:44:106000,584106000
Sensor_1,Active,0.92,0.24,0.47,-4.28,-1.82,-1.27,09:44:206000,584206000
Sensor_1,Active,0.92,0.25,0.47,-4.33,-1.83,-1.21,09:44:306000,584306000
Sensor_1,Active,0.92,0.25,0.48,-4.43,-1.79,-1.41,09:44:406000,584406000
Sensor_1,Active,0.91,0.25,0.47,-4.38,-1.93,-1.41,09:44:506000,584506000
Sensor_1,Active,0.92,0.24,0.48,-4.24,-2.01,-1.24,09:44:606000,584606000
Sensor_1,Active,0.92,0.25,0.47,-4.33,-1.73,-1.35,09:44:706000,584706000
Sensor_1,Active,0.92,0.24,0.47,-4.47,-2.03,-1.34,09:44:806000,584806000
Sensor_1,Active,0.91,0.25,0.47,-4.39,-2.00,-1.40,09:44:906000,584906000
Sensor_1,Active,0.91,0.24,0.46,-4.24,-1.85,-1.37,09:45:006000,585006000
Sensor_1,Active,0.91,0.25,0.47,-4.14,-1.72,-1.47,09:45:106000,585106000
Sensor_1,Active,0.91,0.25,0.48,-4.27,-2.03,-1.31,09:45:206000,585206000
Sensor_1,Active,0.92,0.24,0.46,-4.27,-2.05,-1.30,09:45:306000,585306000
Sensor_1,Active,0.92,0.25,0.47,-4.49,-1.95,-1.45,09:45:406000,585406000
Sensor_1,Active,0.92,0.25,0.47,-4.22,-2.07,-1.23,09:45:506000,585506000
Sensor_1,Active,0.92,0.25,0.48,-4.34,-1.83,-1.44,09:45:606000,585606000
Sensor_1,Active,0.92,0.25,0.47,-4.43,-1.85,-1.33,09:45:706000,585706000
Sensor_1,Active,0.92,0.24,0.48,-4.55,-2.11,-1.46,09:45:806000,585806000
Sensor_1,Active,0.92,0.25,0.47,-4.30,-1.85,-1.35,09:45:906000,585906000
Sensor_1,Active,0.92,0.24,0.47,-4.37,-1.91,-1.21,09:46:006000,586006000
Sensor_1,Active,0.91,0.24,0.47,-4.29,-1.78,-1.59,09:46:106000,586106000
Sensor_1,Active,0.91,0.25,0.47,-4.29,-1.93,-1.53,09:46:206000,586206000
Sensor_1,Active,0.92,0.24,0.47,-4.53,-1.89,-1.45,09:46:306000,586306000
Sensor_1,Active,0.92,0.23,0.47,-4.47,-2.12,-1.41,09:46:406000,586406000
Sensor_1,Active,0.92,0.25,0.46,-4.16,-1.70,-1.49,09:46:506000,586506000
Sensor_1,Active,0.91,0.25,0.47,-3.98,-1.95,-1.53,09:46:606000,586606000
Sensor_1,Active,0.91,0.24,0.48,-4.02,-1.86,-1.22,09:46:706000,586706000
Sensor_1,Active,0.91,0.26,0.47,-4.20,-1.93,-1.50,09:46:806000,586806000
Sensor_1,Active,0.91,0.24,0.47,-3.82,-1.66,-1.40,09:46:907000,586907000
Sensor_1,Active,0.93,0.24,0.48,-4.15,-1.92,-1.24,09:47:006000,587006000
Sensor_1,Active,0.91,0.25,0.47,-3.88,-1.83,-1.18,09:47:106000,587106000
Sensor_1,Active,0.92,0.27,0.46,-4.24,-1.67,-1.21,09:47:206000,587206000
Sensor_1,Active,0.92,0.26,0.46,-4.24,-1.74,-1.66,09:47:306000,587306000
Sensor_1,Active,0.91,0.27,0.47,-4.20,-2.04,-1.21,09:47:406000,587406000
Sensor_1,Active,0.92,0.26,0.47,-4.24,-1.79,-1.40,09:47:506000,587506000
Sensor_1,Active,0.91,0.26,0.46,-4.80,-1.75,-1.54,09:47:606000,587606000
Sensor_1,Active,0.91,0.26,0.47,-4.28,-2.00,-1.35,09:47:706000,587706000
Sensor_1,Active,0.92,0.25,0.48,-4.21,-1.70,-1.22,09:47:806000,587806000
Sensor_1,Active,0.92,0.25,0.47,-4.30,-1.88,-1.43,09:47:906000,587906000
Sensor_1,Active,0.92,0.24,0.47,-4.17,-1.85,-1.30,09:48:006000,588006000
Sensor_1,Active,0.91,0.24,0.47,-3.92,-1.84,-1.24,09:48:106000,588106000
Sensor_1,Active,0.92,0.25,0.47,-4.30,-1.92,-1.43,09:48:206000,588206000
Sensor_1,Active,0.92,0.24,0.46,-4.05,-2.11,-1.70,09:48:306000,588306000
Sensor_1,Active,0.92,0.24,0.47,-4.57,-1.98,-1.31,09:48:406000,588406000
Sensor_1,Active,0.92,0.24,0.48,-4.05,-1.89,-1.30,09:48:506000,588506000
Sensor_1,Active,0.92,0.24,0.47,-4.86,-1.78,-1.54,09:48:606000,588606000
Sensor_1,Active,0.93,0.23,0.46,-4.14,-1.80,-1.47,09:48:706000,588706000
Sensor_1,Active,0.92,0.24,0.47,-3.79,-1.95,-1.37,09:48:806000,588806000
Sensor_1,Active,0.92,0.25,0.47,-4.21,-1.83,-1.39,09:48:906000,588906000
Sensor_1,Active,0.92,0.24,0.47,-4.46,-1.82,-1.38,09:49:006000,589006000
