ID,Status,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Timestamp,Timestamp_us
Sensor_1,Active,1.02,0.13,0.21,-4.43,-1.95,-1.41,04:41:093000,281093000
Sensor_1,Active,1.02,0.13,0.21,-4.08,-1.67,-1.44,04:41:193000,281193000
Sensor_1,Active,1.02,0.13,0.20,-4.14,-1.95,-1.41,04:41:293000,281293000
Sensor_1,Active,1.02,0.13,0.22,-4.28,-1.77,-1.41,04:41:393000,281393000
Sensor_1,Active,1.01,0.13,0.21,-4.23,-1.90,-1.47,04:41:493000,281493000
Sensor_1,Active,1.02,0.13,0.20,-4.27,-1.92,-1.48,04:41:593000,281593000
Sensor_1,Active,1.02,0.12,0.21,-4.16,-1.59,-1.42,04:41:693000,281693000
Sensor_1,Active,1.02,0.13,0.22,-4.04,-1.89,-1.33,04:41:793000,281793000
Sensor_1,Active,1.02,0.12,0.21,-4.27,-2.02,-1.58,04:41:893000,281893000
Sensor_1,Active,1.01,0.13,0.22,-4.18,-1.79,-1.53,04:41:993000,281993000
Sensor_1,Active,1.02,0.13,0.21,-4.22,-1.59,-1.24,04:42:093000,282093000
Sensor_1,Active,1.03,0.13,0.21,-4.30,-1.87,-1.33,04:42:193000,282193000
Sensor_1,Active,1.02,0.13,0.21,-4.30,-1.89,-1.43,04:42:293000,282293000
Sensor_1,Active,1.02,0.13,0.21,-4.17,-1.80,-1.61,04:42:393000,282393000
Sensor_1,Active,1.02,0.13,0.21,-4.57,-2.40,-1.40,04:42:493000,282493000
Sensor_1,Active,1.00,0.12,0.19,-3.76,1.39,-1.28,04:42:593000,282593000
Sensor_1,Active,1.00,0.12,0.17,-4.07,-0.80,-1.56,04:42:693000,282693000
Sensor_1,Active,1.04,0.12,0.21,-3.63,-0.24,-1.47,04:42:793000,282793000
Sensor_1,Active,1.02,0.12,0.22,-4.70,-4.14,-1.61,04:42:893000,282893000
Sensor_1,Active,1.02,0.12,0.20,-4.38,-2.58,-1.29,04:42:993000,282993000
Sensor_1,Active,1.01,0.12,0.20,-3.98,-0.75,-1.29,04:43:093000,283093000
Sensor_1,Active,1.02,0.12,0.20,-4.29,-2.32,-1.41,04:43:193000,283193000
Sensor_1,Active,1.02,0.12,0.20,-4.14,-1.43,-1.44,04:43:293000,283293000
Sensor_1,Active,1.02,0.13,0.20,-4.30,-2.32,-1.50,04:43:393000,283393000
Sensor_1,Active,1.02,0.12,0.20,-4.30,-2.14,-1.30,04:43:493000,283493000
Sensor_1,Active,1.01,0.12,0.20,-4.69,-2.91,-1.18,04:43:593000,283593000
Sensor_1,Active,1.01,0.14,0.21,-4.47,-1.79,-1.34,04:43:693000,283693000
