ID,Status,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Timestamp,Timestamp_us
Sensor_1,Active,0.98,0.07,0.31,-4.33,-2.03,-1.41,12:27:360000,747360000
Sensor_1,Active,1.01,0.07,0.41,-4.25,-0.62,-1.50,12:27:460000,747460000
Sensor_1,Active,1.00,0.08,0.33,-4.51,0.22,-1.59,12:27:560000,747560000
Sensor_1,Active,1.00,0.07,0.30,-4.23,0.28,-1.52,12:27:660000,747660000
Sensor_1,Active,1.01,0.08,0.32,-4.50,0.05,-1.52,12:27:760000,747760000
Sensor_1,Active,0.99,0.07,0.33,-4.40,-0.06,-1.46,12:27:860000,747860000
Sensor_1,Active,1.00,0.07,0.33,-4.43,0.02,-1.52,12:27:960000,747960000
Sensor_1,Active,1.00,0.07,0.34,-4.40,-0.04,-1.53,12:28:060000,748060000
Sensor_1,Active,0.99,0.07,0.33,-4.34,-0.08,-1.35,12:28:160000,748160000
Sensor_1,Active,1.00,0.08,0.33,-4.47,-0.50,-1.43,12:28:260000,748260000
Sensor_1,Active,0.99,0.07,0.31,-4.24,-0.56,-1.51,12:28:360000,748360000
Sensor_1,Active,1.00,0.06,0.27,-4.23,-1.00,-1.72,12:28:460000,748460000
Sensor_1,Active,1.00,0.07,0.32,-4.23,-2.02,-1.34,12:28:560000,748560000
Sensor_1,Active,1.00,0.08,0.35,-4.47,-1.84,-1.40,12:28:660000,748660000
Sensor_1,Active,0.99,0.08,0.34,-4.44,-1.79,-1.30,12:28:760000,748760000
Sensor_1,Active,1.00,0.08,0.35,-4.38,-1.74,-1.25,12:28:860000,748860000
Sensor_1,Active,0.99,0.08,0.32,-4.37,-2.17,-1.57,12:28:960000,748960000
Sensor_1,Active,1.00,0.07,0.34,-4.21,-2.40,-1.22,12:29:060000,749060000
Sensor_1,Active,1.00,0.07,0.34,-4.30,-3.05,-1.21,12:29:160000,749160000
Sensor_1,Active,0.99,0.08,0.34,-4.13,-2.98,-1.33,12:29:260000,749260000
Sensor_1,Active,1.00,0.07,0.33,-4.17,-2.69,-1.21,12:29:360000,749360000
Sensor_1,Active,1.00,0.07,0.31,-4.31,-3.23,-1.27,12:29:460000,749460000
Sensor_1,Active,0.99,0.08,0.29,-4.04,-4.16,-1.15,12:29:560000,749560000
Sensor_1,Active,1.00,0.08,0.33,-4.15,-4.10,-1.01,12:29:660000,749660000
Sensor_1,Active,0.99,0.07,0.37,-4.23,-4.21,-1.32,12:29:760000,749760000
Sensor_1,Active,1.00,0.08,0.37,-4.37,-2.69,-1.35,12:29:860000,749860000
Sensor_1,Active,0.99,0.07,0.34,-4.30,-2.48,-1.37,12:29:960000,749960000
Sensor_1,Active,1.00,0.07,0.31,-4.15,-2.22,-1.37,12:30:060000,750060000
Sensor_1,Active,1.00,0.07,0.31,-4.28,-2.85,-1.29,12:30:160000,750160000
Sensor_1,Active,1.00,0.07,0.33,-4.25,-3.14,-1.31,12:30:260000,750260000
Sensor_1,Active,1.01,0.07,0.35,-4.26,-2.51,-1.25,12:30:360000,750360000
Sensor_1,Active,1.01,0.05,0.19,-6.46,-2.43,-1.46,12:30:460000,750460000
Sensor_1,Active,1.00,0.06,0.34,-4.40,-2.76,-1.07,12:30:560000,750560000
Sensor_1,Active,1.01,0.09,0.35,-4.18,-2.39,-1.11,12:30:660000,750660000
Sensor_1,Active,1.01,0.10,0.42,-4.41,-0.99,-1.35,12:30:760000,750760000
Sensor_1,Active,1.01,0.08,0.35,-4.50,0.85,-1.93,12:30:860000,750860000
Sensor_1,Active,1.00,0.07,0.33,-4.43,0.41,-1.79,12:30:960000,750960000
Sensor_1,Active,0.99,0.06,0.32,-4.66,1.15,-1.70,12:31:060000,751060000
Sensor_1,Active,0.99,0.07,0.32,-4.56,0.29,-1.64,12:31:160000,751160000
Sensor_1,Active,0.99,0.08,0.34,-4.41,-0.18,-1.56,12:31:260000,751260000
Sensor_1,Active,0.99,0.07,0.34,-4.42,-0.45,-1.74,12:31:360000,751360000
Sensor_1,Active,1.00,0.08,0.33,-4.39,-0.62,-1.50,12:31:460000,751460000
Sensor_1,Active,1.00,0.08,0.33,-4.49,-0.63,-1.48,12:31:560000,751560000
Sensor_1,Active,1.00,0.07,0.33,-4.44,-0.96,-1.54,12:31:660000,751660000
Sensor_1,Active,1.00,0.07,0.31,-4.23,-1.19,-1.44,12:31:760000,751760000
Sensor_1,Active,1.00,0.08,0.32,-4.37,-2.02,-1.37,12:31:860000,751860000
Sensor_1,Active,1.00,0.08,0.34,-4.23,-2.07,-1.25,12:31:960000,751960000
Sensor_1,Active,0.99,0.07,0.35,-4.34,-1.92,-1.38,12:32:060000,752060000
Sensor_1,Active,0.99,0.07,0.35,-4.30,-2.05,-1.34,12:32:160000,752160000
Sensor_1,Active,0.99,0.08,0.35,-4.30,-1.90,-1.41,12:32:260000,752260000
Sensor_1,Active,0.99,0.07,0.35,-4.21,-2.01,-1.37,12:32:360000,752360000
Sensor_1,Active,0.99,0.08,0.35,-4.33,-1.61,-1.40,12:32:460000,752460000
Sensor_1,Active,1.00,0.07,0.34,-4.21,-1.82,-1.33,12:32:560000,752560000
Sensor_1,Active,0.99,0.07,0.35,-4.28,-1.82,-1.46,12:32:660000,752660000
Sensor_1,Active,1.00,0.08,0.35,-4.54,-1.89,-1.33,12:32:760000,752760000
Sensor_1,Active,1.00,0.08,0.36,-4.18,-1.71,-1.36,12:32:860000,752860000
Sensor_1,Active,1.00,0.07,0.35,-4.28,-1.81,-1.30,12:32:960000,752960000
Sensor_1,Active,1.00,0.07,0.35,-4.36,-1.92,-1.47,12:33:060000,753060000
Sensor_1,Active,1.00,0.07,0.35,-4.33,-1.76,-1.40,12:33:160000,753160000
Sensor_1,Active,1.00,0.08,0.35,-4.30,-2.03,-1.27,12:33:260000,753260000
Sensor_1,Active,0.99,0.07,0.35,-4.13,-1.90,-1.16,12:33:360000,753360000
Sensor_1,Active,0.99,0.08,0.34,-4.36,-1.95,-1.59,12:33:460000,753460000
Sensor_1,Active,1.00,0.08,0.35,-4.30,-1.72,-1.42,12:33:560000,753560000
Sensor_1,Active,0.99,0.08,0.36,-4.30,-1.76,-1.45,12:33:660000,753660000
Sensor_1,Active,0.99,0.08,0.35,-4.10,-1.86,-1.47,12:33:760000,753760000
