ID,Status,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Timestamp,Timestamp_us
Sensor_1,Active,-0.50,0.56,-0.55,57.45,-12.00,-0.69,00:04:837000,4837000
Sensor_1,Active,-0.48,0.65,-0.46,-65.38,-16.21,40.63,00:04:937000,4937000
Sensor_1,Active,-0.47,0.75,-0.36,-67.93,-24.33,27.96,00:05:037000,5037000
Sensor_1,Active,-0.45,0.77,-0.32,-12.68,-20.53,11.63,00:05:137000,5137000
Sensor_1,Active,-0.41,0.81,-0.28,-25.15,-19.91,24.37,00:05:237000,5237000
Sensor_1,Active,-0.34,0.91,-0.19,-61.59,-13.46,21.21,00:05:338000,5338000
Sensor_1,Active,-0.34,0.96,-0.02,-60.47,-40.56,-14.55,00:05:437000,5437000
Sensor_1,Active,-0.42,0.87,-0.04,-22.62,-29.46,-10.46,00:05:537000,5537000
Sensor_1,Active,-0.42,0.79,0.02,-3.60,7.86,1.10,00:05:637000,5637000
Sensor_1,Active,-0.37,0.90,0.06,-13.84,15.07,14.94,00:05:737000,5737000
Sensor_1,Active,-0.23,1.01,0.20,-52.25,75.52,3.19,00:05:837000,5837000
Sensor_1,Active,-0.20,0.94,0.18,-160.90,70.62,30.67,00:05:937000,5937000
Sensor_1,Active,-0.21,0.93,0.33,-177.52,81.98,70.53,00:06:037000,6037000
Sensor_1,Active,-0.22,0.61,0.47,-86.31,92.55,94.11,00:06:137000,6137000
Sensor_1,Active,-0.24,0.85,0.40,-90.02,35.02,29.28,00:06:237000,6237000
Sensor_1,Active,-0.31,1.04,0.55,5.85,-3.10,-51.56,00:06:337000,6337000
Sensor_1,Active,-0.23,0.86,0.75,-76.92,-39.45,-3.27,00:06:437000,6437000
Sensor_1,Active,-0.16,0.73,0.78,-85.58,-12.57,-18.96,00:06:537000,6537000
Sensor_1,Active,-0.20,0.63,0.81,-53.21,18.86,6.48,00:06:637000,6637000
Sensor_1,Active,-0.21,0.60,0.85,-29.27,20.47,-1.43,00:06:737000,6737000
Sensor_1,Active,-0.20,0.57,0.86,-12.70,-8.99,8.92,00:06:837000,6837000
Sensor_1,Active,-0.20,0.57,0.87,-12.34,-27.37,-0.01,00:06:937000,6937000
Sensor_1,Active,-0.17,0.56,0.92,-3.56,-22.76,-0.86,00:07:037000,7037000
Sensor_1,Active,-0.12,0.55,0.93,-21.73,-28.81,-3.57,00:07:137000,7137000
Sensor_1,Active,-0.07,0.48,0.95,-21.53,-8.87,-6.84,00:07:237000,7237000
Sensor_1,Active,-0.10,0.45,0.98,-56.90,-18.08,-29.57,00:07:337000,7337000
Sensor_1,Active,-0.07,0.37,0.99,-22.72,-5.05,-14.66,00:07:437000,7437000
Sensor_1,Active,-0.10,0.40,0.93,-9.09,-4.58,-4.88,00:07:537000,7537000
Sensor_1,Active,-0.12,0.35,1.00,-11.95,5.80,18.03,00:07:637000,7637000
Sensor_1,Active,-0.09,0.32,0.95,-13.70,5.66,20.16,00:07:737000,7737000
Sensor_1,Active,-0.11,0.34,1.01,-12.79,4.94,16.07,00:07:837000,7837000
Sensor_1,Active,-0.09,0.36,0.97,-6.94,-2.39,-0.53,00:07:937000,7937000
